Year,data.sex,data.age,Value
2013,,,95.4
2013,,data.15-24years,97.0
2013,,data.25-39years,96.1
2013,,data.40-49years,97.8
2013,,data.50-59years,96.6
2013,,data.60years,91.8
2013,data.male,,97.1
2013,data.male,data.15-24years,97.1
2013,data.male,data.25-39years,95.2
2013,data.male,data.40-49years,97.7
2013,data.male,data.50-59years,100.0
2013,data.male,data.60years,96.3
2013,data.female,,93.7
2013,data.female,data.15-24years,96.8
2013,data.female,data.25-39years,97.2
2013,data.female,data.40-49years,97.9
2013,data.female,data.50-59years,93.0
2013,data.female,data.60years,87.5
2017,,,94.3
2017,,data.15-24years,91.4
2017,,data.25-39years,96.5
2017,,data.40-49years,97.0
2017,,data.50-59years,94.7
2017,,data.60years,92.7
2017,data.male,,98.3
2017,data.male,data.15-24years,100.0
2017,data.male,data.25-39years,100.0
2017,data.male,data.40-49years,100.0
2017,data.male,data.50-59years,100.0
2017,data.male,data.60years,93.7
2017,data.female,,90.1
2017,data.female,data.15-24years,81.6
2017,data.female,data.25-39years,92.4
2017,data.female,data.40-49years,93.6
2017,data.female,data.50-59years,89.0
2017,data.female,data.60years,91.7
2020,,,95.5
2020,,data.15-24years,94.2
2020,,data.25-39years,97.5
2020,,data.40-49years,98.7
2020,,data.50-59years,95.8
2020,,data.60years,92.8
2020,data.male,,98.7
2020,data.male,data.15-24years,100.0
2020,data.male,data.25-39years,97.5
2020,data.male,data.40-49years,100.0
2020,data.male,data.50-59years,100.0
2020,data.male,data.60years,97.7
2020,data.female,,92.1
2020,data.female,data.15-24years,87.6
2020,data.female,data.25-39years,97.5
2020,data.female,data.40-49years,97.2
2020,data.female,data.50-59years,91.1
2020,data.female,data.60years,88.1
