Year,Series,Units,Value
1991,Tuberculosis incidence,"Per 100,000 population",0.0
1992,Tuberculosis incidence,"Per 100,000 population",2.1
1993,Tuberculosis incidence,"Per 100,000 population",2.2
1994,Tuberculosis incidence,"Per 100,000 population",0.0
1995,Tuberculosis incidence,"Per 100,000 population",4.6
1996,Tuberculosis incidence,"Per 100,000 population",0.0
1997,Tuberculosis incidence,"Per 100,000 population",0.0
1998,Tuberculosis incidence,"Per 100,000 population",6.7
1999,Tuberculosis incidence,"Per 100,000 population",4.4
2000,Tuberculosis incidence,"Per 100,000 population",13.1
2001,Tuberculosis incidence,"Per 100,000 population",2.1
2002,Tuberculosis incidence,"Per 100,000 population",0.0
2003,Tuberculosis incidence,"Per 100,000 population",2.1
2004,Tuberculosis incidence,"Per 100,000 population",0.0
2005,Tuberculosis incidence,"Per 100,000 population",0.0
2006,Tuberculosis incidence,"Per 100,000 population",2.1
2007,Tuberculosis incidence,"Per 100,000 population",2.1
2008,Tuberculosis incidence,"Per 100,000 population",2.1
2009,Tuberculosis incidence,"Per 100,000 population",0.0
2010,Tuberculosis incidence,"Per 100,000 population",4.1
2011,Tuberculosis incidence,"Per 100,000 population",4.1
2012,Tuberculosis incidence,"Per 100,000 population",4.2
2013,Tuberculosis incidence,"Per 100,000 population",8.3
2014,Tuberculosis incidence,"Per 100,000 population",2.1
2015,Tuberculosis incidence,"Per 100,000 population",4.1
2016,Tuberculosis incidence,"Per 100,000 population",4.0
2017,Tuberculosis incidence,"Per 100,000 population",2.0
2018,Tuberculosis incidence,"Per 100,000 population",2.0
2019,Tuberculosis incidence,"Per 100,000 population",1.9
2020,Tuberculosis incidence,"Per 100,000 population",0.0
2021,Tuberculosis incidence,"Per 100,000 population",0.0
