Year,Series,sex,outcome,Units,Value
2009,Persons,,"Non-fatal (on land, not at sea)",In number,140.0
2010,Persons,,"Non-fatal (on land, not at sea)",In number,83.0
2011,Persons,,"Non-fatal (on land, not at sea)",In number,127.0
2012,Persons,,"Non-fatal (on land, not at sea)",In number,126.0
2013,Persons,,"Non-fatal (on land, not at sea)",In number,144.0
2014,Persons,,"Non-fatal (on land, not at sea)",In number,167.0
2015,Persons,,"Non-fatal (on land, not at sea)",In number,188.0
2016,Persons,,"Non-fatal (on land, not at sea)",In number,184.0
2017,Persons,,"Non-fatal (on land, not at sea)",In number,178.0
2018,Persons,,"Non-fatal (on land, not at sea)",In number,215.0
2019,Persons,,"Non-fatal (on land, not at sea)",In number,226.0
2020,Persons,,"Non-fatal (on land, not at sea)",In number,170.0
2021,Persons,,"Non-fatal (on land, not at sea)",In number,225.0
2022,Persons,,"Non-fatal (on land, not at sea)",In number,226.0
2023,Persons,,"Non-fatal (on land, not at sea)",In number,242.0
2024,Persons,,"Non-fatal (on land, not at sea)",In number,256.0
2025,Persons,,"Non-fatal (on land, not at sea)",In number,280.0
2009,Persons,,Fatal (on land and sea),In number,2.0
2010,Persons,,Fatal (on land and sea),In number,0.0
2011,Persons,,Fatal (on land and sea),In number,0.0
2012,Persons,,Fatal (on land and sea),In number,1.0
2013,Persons,,Fatal (on land and sea),In number,1.0
2014,Persons,,Fatal (on land and sea),In number,3.0
2015,Persons,,Fatal (on land and sea),In number,0.0
2016,Persons,,Fatal (on land and sea),In number,1.0
2017,Persons,,Fatal (on land and sea),In number,0.0
2018,Persons,,Fatal (on land and sea),In number,1.0
2019,Persons,,Fatal (on land and sea),In number,1.0
2020,Persons,,Fatal (on land and sea),In number,3.0
2021,Persons,,Fatal (on land and sea),In number,0.0
2022,Persons,,Fatal (on land and sea),In number,0.0
2023,Persons,,Fatal (on land and sea),In number,0.0
2024,Persons,,Fatal (on land and sea),In number,4.0
2025,Persons,,Fatal (on land and sea),In number,3.0
2009,Persons,Males,"Non-fatal (on land, not at sea)",In number,72.0
2010,Persons,Males,"Non-fatal (on land, not at sea)",In number,41.0
2011,Persons,Males,"Non-fatal (on land, not at sea)",In number,65.0
2012,Persons,Males,"Non-fatal (on land, not at sea)",In number,69.0
2013,Persons,Males,"Non-fatal (on land, not at sea)",In number,68.0
2014,Persons,Males,"Non-fatal (on land, not at sea)",In number,76.0
2015,Persons,Males,"Non-fatal (on land, not at sea)",In number,114.0
2016,Persons,Males,"Non-fatal (on land, not at sea)",In number,108.0
2017,Persons,Males,"Non-fatal (on land, not at sea)",In number,122.0
2018,Persons,Males,"Non-fatal (on land, not at sea)",In number,131.0
2019,Persons,Males,"Non-fatal (on land, not at sea)",In number,119.0
2020,Persons,Males,"Non-fatal (on land, not at sea)",In number,100.0
2009,Persons,Males,Fatal (on land and sea),In number,2.0
2010,Persons,Males,Fatal (on land and sea),In number,0.0
2011,Persons,Males,Fatal (on land and sea),In number,0.0
2012,Persons,Males,Fatal (on land and sea),In number,1.0
2013,Persons,Males,Fatal (on land and sea),In number,1.0
2014,Persons,Males,Fatal (on land and sea),In number,3.0
2015,Persons,Males,Fatal (on land and sea),In number,0.0
2016,Persons,Males,Fatal (on land and sea),In number,1.0
2017,Persons,Males,Fatal (on land and sea),In number,0.0
2018,Persons,Males,Fatal (on land and sea),In number,1.0
2019,Persons,Males,Fatal (on land and sea),In number,0.0
2020,Persons,Males,Fatal (on land and sea),In number,3.0
2021,Persons,Males,Fatal (on land and sea),In number,0.0
2022,Persons,Males,Fatal (on land and sea),In number,0.0
2023,Persons,Males,Fatal (on land and sea),In number,0.0
2024,Persons,Males,Fatal (on land and sea),In number,4.0
2025,Persons,Males,Fatal (on land and sea),In number,3.0
2009,Persons,Females,"Non-fatal (on land, not at sea)",In number,68.0
2010,Persons,Females,"Non-fatal (on land, not at sea)",In number,42.0
2011,Persons,Females,"Non-fatal (on land, not at sea)",In number,62.0
