Year,Series,Units,Value
1991,Tuberculosis incidence,In number,0.0
1992,Tuberculosis incidence,In number,2.1
1993,Tuberculosis incidence,In number,2.2
1994,Tuberculosis incidence,In number,0.0
1995,Tuberculosis incidence,In number,4.6
1996,Tuberculosis incidence,In number,0.0
1997,Tuberculosis incidence,In number,0.0
1998,Tuberculosis incidence,In number,6.7
1999,Tuberculosis incidence,In number,4.4
2000,Tuberculosis incidence,In number,13.1
2001,Tuberculosis incidence,In number,2.1
2002,Tuberculosis incidence,In number,0.0
2003,Tuberculosis incidence,In number,2.1
2004,Tuberculosis incidence,In number,0.0
2005,Tuberculosis incidence,In number,0.0
2006,Tuberculosis incidence,In number,2.1
2007,Tuberculosis incidence,In number,2.1
2008,Tuberculosis incidence,In number,2.1
2009,Tuberculosis incidence,In number,0.0
2010,Tuberculosis incidence,In number,4.1
2011,Tuberculosis incidence,In number,4.1
2012,Tuberculosis incidence,In number,4.2
2013,Tuberculosis incidence,In number,8.3
2014,Tuberculosis incidence,In number,2.1
2015,Tuberculosis incidence,In number,4.1
2016,Tuberculosis incidence,In number,4.0
2017,Tuberculosis incidence,In number,2.0
2018,Tuberculosis incidence,In number,2.0
2019,Tuberculosis incidence,In number,1.9
2020,Tuberculosis incidence,In number,0.0
2021,Tuberculosis incidence,In number,0.0
