Year,Series,diseases,sex,Units,Value
2009,Total, #3.4.1,,In number,274.03516784654
2010,Total, #3.4.1,,In number,210.905030705291
2011,Total, #3.4.1,,In number,264.075426543707
2012,Total, #3.4.1,,In number,231.027867736546
2013,Total, #3.4.1,,In number,272.637144745539
2014,Total, #3.4.1,,In number,251.904771737111
2015,Total, #3.4.1,,In number,221.843353942855
2016,Total, #3.4.1,,In number,248.553500122239
2017,Total, #3.4.1,,In number,294.515159461804
2018,Total, #3.4.1,,In number,238.986696407233
2019,Total, #3.4.1,,In number,191.987462043295
2020,Total, #3.4.1,,In number,127.334465195246
2021,Total, #3.4.1,,In number,176.339799125968
2009,Total, #3.4.1,Males,In number,321.56862745098
2010,Total, #3.4.1,Males,In number,305.235970885184
2011,Total, #3.4.1,Males,In number,313.455058381005
2012,Total, #3.4.1,Males,In number,346.347607052897
2013,Total, #3.4.1,Males,In number,371.497450895151
2014,Total, #3.4.1,Males,In number,323.662916913361
2015,Total, #3.4.1,Males,In number,282.496959234119
2016,Total, #3.4.1,Males,In number,288.566526282951
2017,Total, #3.4.1,Males,In number,363.481690576544
2018,Total, #3.4.1,Males,In number,320.15855471281
2019,Total, #3.4.1,Males,In number,231.801697386623
2020,Total, #3.4.1,Males,In number,161.687428802411
2021,Total, #3.4.1,Males,In number,218.882241354151
2009,Total, #3.4.1,Females,In number,220.565530018969
2010,Total, #3.4.1,Females,In number,105.221623043536
2011,Total, #3.4.1,Females,In number,209.159440498497
2012,Total, #3.4.1,Females,In number,104.026700186381
2013,Total, #3.4.1,Females,In number,164.409639596764
2014,Total, #3.4.1,Females,In number,173.190162798753
2015,Total, #3.4.1,Females,In number,155.199172271081
2016,Total, #3.4.1,Females,In number,204.778156996587
2017,Total, #3.4.1,Females,In number,219.298245614035
2018,Total, #3.4.1,Females,In number,150.156412930136
2019,Total, #3.4.1,Females,In number,148.160342415014
2020,Total, #3.4.1,Females,In number,89.3618749746131
2021,Total, #3.4.1,Females,In number,129.24071082391
2009,Total,Cardiovascular disease,,In number,74.7368639581474
2010,Total,Cardiovascular disease,,In number,57.8954986249819
2011,Total,Cardiovascular disease,,In number,66.0188566359266
2012,Total,Cardiovascular disease,,In number,90.7609480393573
