Year,Value,Units,Series
2021,0.26405,pct.,Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) (%)
2021,704.26871,sqare km,Protected marine area (Exclusive Economic Zones) (square kilometres)
2012,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2013,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2014,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2015,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2016,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2017,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2018,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2019,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2020,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
2021,16.66667,pct.,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)
