Year,Series,Units,Value
2021,"Partur av havleiðum (serbúskaparøki), ið eru vard øki (%)",%,0.26405
2021,Vardar havleiðir (serbúskaparøki) (km²),km2,704.26871
2012,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2013,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2014,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2015,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2016,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2017,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2018,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2019,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2020,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
2021,"Miðalparturin av týðandi havleiðum fyri lívmargfeldi, ið eru vard øki (%)",%,16.66667
