Year,Units,Series,Value
1985,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.0650406504065
1986,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,2.54129606099111
1987,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,7.7120822622108
1988,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,11.5606936416185
1989,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,12.9171151776103
1990,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.24628450106157
1991,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,8.12064965197216
1992,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,7.4719800747198
1993,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,5.27009222661397
1994,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,7.49625187406297
1995,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,6.2111801242236
1996,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.48588410104012
1997,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.52488687782805
1998,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,0.0
1999,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,3.19488817891374
2000,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.44508670520231
2001,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,3.16455696202532
2002,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,2.82087447108604
2003,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.41843971631206
2004,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.40252454417952
2005,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,8.43881856540084
2006,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.51057401812689
2007,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.45103857566766
2008,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.5015015015015
2009,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.62337662337662
2010,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,3.11526479750779
2011,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,3.48432055749129
2012,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,12.9449838187702
2013,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,0.0
2014,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.69483568075117
2015,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,3.3003300330033
2016,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.46428571428571
2017,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.57317073170732
2018,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,0.0
2019,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,4.39882697947214
2020,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,1.47492625368732
2021,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,0.0
2022,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd,7.92393026941363
