Year,Series,sjúkubólkar,kyn,Units,Value
2009,Tilsamans,,,Í tali,274.03516784654
2010,Tilsamans,,,Í tali,210.905030705291
2011,Tilsamans,,,Í tali,264.075426543707
2012,Tilsamans,,,Í tali,231.027867736546
2013,Tilsamans,,,Í tali,272.637144745539
2014,Tilsamans,,,Í tali,251.904771737111
2015,Tilsamans,,,Í tali,221.843353942855
2016,Tilsamans,,,Í tali,248.553500122239
2017,Tilsamans,,,Í tali,294.515159461804
2018,Tilsamans,,,Í tali,238.986696407233
2019,Tilsamans,,,Í tali,191.987462043295
2020,Tilsamans,,,Í tali,127.334465195246
2021,Tilsamans,,,Í tali,176.339799125968
2009,Tilsamans,,Menn,Í tali,321.56862745098
2010,Tilsamans,,Menn,Í tali,305.235970885184
2011,Tilsamans,,Menn,Í tali,313.455058381005
2012,Tilsamans,,Menn,Í tali,346.347607052897
2013,Tilsamans,,Menn,Í tali,371.497450895151
2014,Tilsamans,,Menn,Í tali,323.662916913361
2015,Tilsamans,,Menn,Í tali,282.496959234119
2016,Tilsamans,,Menn,Í tali,288.566526282951
2017,Tilsamans,,Menn,Í tali,363.481690576544
2018,Tilsamans,,Menn,Í tali,320.15855471281
2019,Tilsamans,,Menn,Í tali,231.801697386623
2020,Tilsamans,,Menn,Í tali,161.687428802411
2021,Tilsamans,,Menn,Í tali,218.882241354151
2009,Tilsamans,,Kvinnur,Í tali,220.565530018969
2010,Tilsamans,,Kvinnur,Í tali,105.221623043536
2011,Tilsamans,,Kvinnur,Í tali,209.159440498497
2012,Tilsamans,,Kvinnur,Í tali,104.026700186381
2013,Tilsamans,,Kvinnur,Í tali,164.409639596764
2014,Tilsamans,,Kvinnur,Í tali,173.190162798753
2015,Tilsamans,,Kvinnur,Í tali,155.199172271081
2016,Tilsamans,,Kvinnur,Í tali,204.778156996587
2017,Tilsamans,,Kvinnur,Í tali,219.298245614035
2018,Tilsamans,,Kvinnur,Í tali,150.156412930136
2019,Tilsamans,,Kvinnur,Í tali,148.160342415014
2020,Tilsamans,,Kvinnur,Í tali,89.3618749746131
2021,Tilsamans,,Kvinnur,Í tali,129.24071082391
2009,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,74.7368639581474
2010,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,57.8954986249819
2011,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,66.0188566359266
2012,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,90.7609480393573
2013,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,86.748182419035
2014,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,74.3325555945572
2015,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,57.5149436148142
2016,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,65.1943606878005
2017,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,84.7235390232586
2018,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,51.7804508882339
2019,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,54.8535605837986
2020,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,23.1517209445902
2021,Tilsamans,Hjarta-æðra-sjúkur,,Í tali,53.6686345165989
2009,Tilsamans,Hjarta-æðra-sjúkur,Menn,Í tali,86.2745098039216
2010,Tilsamans,Hjarta-æðra-sjúkur,Menn,Í tali,86.092196916334
2011,Tilsamans,Hjarta-æðra-sjúkur,Menn,Í tali,101.872893973827
2012,Tilsamans,Hjarta-æðra-sjúkur,Menn,Í tali,157.430730478589
