Year,Series,kyn,avleiðing,Units,Value
2009,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,140.0
2010,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,83.0
2011,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,127.0
2012,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,126.0
2013,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,144.0
2014,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,167.0
2015,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,188.0
2016,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,184.0
2017,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,178.0
2018,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,215.0
2019,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,226.0
2020,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,170.0
2021,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,225.0
2022,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,226.0
2023,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,242.0
2024,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,256.0
2025,Persónar,,"Ikki-deyðilig (á landi, ikki á sjónum)",Í tali,280.0
2009,Persónar,,Deyðilig (á landi og á sjónum),Í tali,2.0
2010,Persónar,,Deyðilig (á landi og á sjónum),Í tali,0.0
2011,Persónar,,Deyðilig (á landi og á sjónum),Í tali,0.0
2012,Persónar,,Deyðilig (á landi og á sjónum),Í tali,1.0
2013,Persónar,,Deyðilig (á landi og á sjónum),Í tali,1.0
2014,Persónar,,Deyðilig (á landi og á sjónum),Í tali,3.0
2015,Persónar,,Deyðilig (á landi og á sjónum),Í tali,0.0
2016,Persónar,,Deyðilig (á landi og á sjónum),Í tali,1.0
2017,Persónar,,Deyðilig (á landi og á sjónum),Í tali,0.0
2018,Persónar,,Deyðilig (á landi og á sjónum),Í tali,1.0
2019,Persónar,,Deyðilig (á landi og á sjónum),Í tali,1.0
2020,Persónar,,Deyðilig (á landi og á sjónum),Í tali,3.0
2021,Persónar,,Deyðilig (á landi og á sjónum),Í tali,0.0
2022,Persónar,,Deyðilig (á landi og á sjónum),Í tali,0.0
