Year,Series,øki,kyn,aldur,Units,Value
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,3.9
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,4.0
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,4.4
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,4.7
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,3.7
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,3.5
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,3.4
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,3.2
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,3.0
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,2.9
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,2.6
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,2.4
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,2.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,2.5
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,2.5
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,,%,2.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,5.1
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,5.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,5.7
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,6.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,5.1
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,4.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,4.4
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,4.3
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,3.8
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,3.5
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,3.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,3.2
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,3.4
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,3.2
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,3.0
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 0 - 17,%,3.6
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.7
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,4.3
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,5.4
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,6.1
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,4.3
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,4.6
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,4.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.6
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.0
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.1
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,2.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.3
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.1
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.3
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 18 - 24,%,3.5
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,3.5
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,3.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,4.1
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,4.4
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,3.4
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,3.1
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,3.2
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,3.1
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,2.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,2.8
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,2.6
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,2.3
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,2.8
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,2.7
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,2.6
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 25 - 54,%,3.1
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,3.7
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,3.5
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,3.5
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,3.8
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,3.2
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,3.2
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.7
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.8
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.7
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.3
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.2
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.0
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.1
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.0
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.0
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 55 - 66,%,2.2
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,3.0
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,2.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,2.8
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,2.4
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,1.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,2.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,2.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,1.9
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,2.5
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,2.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,1.5
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,1.3
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,1.0
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,0.9
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,1.4
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,1.4
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,4.1
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,4.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,4.7
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,4.8
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,3.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,3.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,3.6
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,3.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,3.1
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,2.9
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,2.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,2.7
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,2.6
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,2.6
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,2.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,5.2
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,5.5
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,6.1
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,6.0
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,5.3
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,5.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,4.9
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,4.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,3.8
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,3.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,3.8
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,3.5
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,3.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,3.1
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,3.3
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,3.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,4.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,5.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,7.4
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,8.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,5.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,5.9
