Year,Series,Units,Value
1991,Nýggir tuberkla-tilburðir,Í tali,0.0
1992,Nýggir tuberkla-tilburðir,Í tali,2.1
1993,Nýggir tuberkla-tilburðir,Í tali,2.2
1994,Nýggir tuberkla-tilburðir,Í tali,0.0
1995,Nýggir tuberkla-tilburðir,Í tali,4.6
1996,Nýggir tuberkla-tilburðir,Í tali,0.0
1997,Nýggir tuberkla-tilburðir,Í tali,0.0
1998,Nýggir tuberkla-tilburðir,Í tali,6.7
1999,Nýggir tuberkla-tilburðir,Í tali,4.4
2000,Nýggir tuberkla-tilburðir,Í tali,13.1
2001,Nýggir tuberkla-tilburðir,Í tali,2.1
2002,Nýggir tuberkla-tilburðir,Í tali,0.0
2003,Nýggir tuberkla-tilburðir,Í tali,2.1
2004,Nýggir tuberkla-tilburðir,Í tali,0.0
2005,Nýggir tuberkla-tilburðir,Í tali,0.0
2006,Nýggir tuberkla-tilburðir,Í tali,2.1
2007,Nýggir tuberkla-tilburðir,Í tali,2.1
2008,Nýggir tuberkla-tilburðir,Í tali,2.1
2009,Nýggir tuberkla-tilburðir,Í tali,0.0
2010,Nýggir tuberkla-tilburðir,Í tali,4.1
2011,Nýggir tuberkla-tilburðir,Í tali,4.1
2012,Nýggir tuberkla-tilburðir,Í tali,4.2
2013,Nýggir tuberkla-tilburðir,Í tali,8.3
2014,Nýggir tuberkla-tilburðir,Í tali,2.1
2015,Nýggir tuberkla-tilburðir,Í tali,4.1
2016,Nýggir tuberkla-tilburðir,Í tali,4.0
2017,Nýggir tuberkla-tilburðir,Í tali,2.0
2018,Nýggir tuberkla-tilburðir,Í tali,2.0
2019,Nýggir tuberkla-tilburðir,Í tali,1.9
2020,Nýggir tuberkla-tilburðir,Í tali,0.0
2021,Nýggir tuberkla-tilburðir,Í tali,0.0
