Year,avleiðing,Units,Series,kyn,Value
2009,Ikki-deyðilig,Í tali,Persónar,,140.0
2009,Ikki-deyðilig,Í tali,Persónar,Menn,72.0
2009,Ikki-deyðilig,Í tali,Persónar,Kvinnur,68.0
2009,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,510.613465606536
2009,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,485.436893203884
2009,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,540.282853964723
2010,Ikki-deyðilig,Í tali,Persónar,,83.0
2010,Ikki-deyðilig,Í tali,Persónar,Menn,41.0
2010,Ikki-deyðilig,Í tali,Persónar,Kvinnur,42.0
2010,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,314.536910716993
2010,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,276.298941977222
2010,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,363.667850030306
2011,Ikki-deyðilig,Í tali,Persónar,,127.0
2011,Ikki-deyðilig,Í tali,Persónar,Menn,65.0
2011,Ikki-deyðilig,Í tali,Persónar,Kvinnur,62.0
2011,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,497.492948918834
2011,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,469.449660551784
2011,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,530.731039205616
2012,Ikki-deyðilig,Í tali,Persónar,,126.0
2012,Ikki-deyðilig,Í tali,Persónar,Menn,69.0
2012,Ikki-deyðilig,Í tali,Persónar,Kvinnur,57.0
2012,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,453.44945478101295
2012,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,464.08393866021
2012,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,441.210620017029
2013,Ikki-deyðilig,Í tali,Persónar,,144.0
2013,Ikki-deyðilig,Í tali,Persónar,Menn,68.0
2013,Ikki-deyðilig,Í tali,Persónar,Kvinnur,76.0
2013,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,525.451559934319
2013,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,450.092666137146
2013,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,618.087182823682
2014,Ikki-deyðilig,Í tali,Persónar,,167.0
2014,Ikki-deyðilig,Í tali,Persónar,Menn,76.0
2014,Ikki-deyðilig,Í tali,Persónar,Kvinnur,91.0
2014,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,600.827486958086
2014,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,498.327978493214
2014,Ikki-deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,725.446428571428
2015,Ikki-deyðilig,Í tali,Persónar,,188.0
2015,Ikki-deyðilig,Í tali,Persónar,Menn,114.0
