Year,Value,Units,Series
1985,4.0650406504065,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1986,2.54129606099111,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1987,7.7120822622108,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1988,11.5606936416185,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1989,12.9171151776103,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1990,4.24628450106157,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1991,8.12064965197216,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1992,7.4719800747198,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1993,5.27009222661397,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1994,7.49625187406297,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1995,6.2111801242236,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1996,1.48588410104012,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1997,4.52488687782805,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1998,0.0,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
1999,3.19488817891374,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2000,1.44508670520231,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2001,3.16455696202532,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2002,2.82087447108604,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2003,1.41843971631206,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2004,1.40252454417952,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2005,8.43881856540084,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2006,1.51057401812689,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2007,4.45103857566766,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2008,1.5015015015015,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2009,1.62337662337662,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2010,3.11526479750779,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2011,3.48432055749129,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2012,12.9449838187702,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2013,0.0,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2014,4.69483568075117,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2015,3.3003300330033,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2016,4.46428571428571,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2017,4.57317073170732,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2018,0.0,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2019,4.39882697947214,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2020,1.47492625368732,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2021,0.0,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
2022,7.92393026941363,Í tali,Deyðatíttleiki 0-28 dagar fyri hvørji 1.000 livandi fødd
