Year,Units,Series,Value
1985,NO,MORT_YLT5,4.0650406504065
1986,NO,MORT_YLT5,2.54129606099111
1987,NO,MORT_YLT5,7.7120822622108
1988,NO,MORT_YLT5,11.5606936416185
1989,NO,MORT_YLT5,12.9171151776103
1990,NO,MORT_YLT5,4.24628450106157
1991,NO,MORT_YLT5,8.12064965197216
1992,NO,MORT_YLT5,7.4719800747198
1993,NO,MORT_YLT5,5.27009222661397
1994,NO,MORT_YLT5,7.49625187406297
1995,NO,MORT_YLT5,6.2111801242236
1996,NO,MORT_YLT5,1.48588410104012
1997,NO,MORT_YLT5,4.52488687782805
1998,NO,MORT_YLT5,0.0
1999,NO,MORT_YLT5,3.19488817891374
2000,NO,MORT_YLT5,1.44508670520231
2001,NO,MORT_YLT5,3.16455696202532
2002,NO,MORT_YLT5,2.82087447108604
2003,NO,MORT_YLT5,1.41843971631206
2004,NO,MORT_YLT5,1.40252454417952
2005,NO,MORT_YLT5,8.43881856540084
2006,NO,MORT_YLT5,1.51057401812689
2007,NO,MORT_YLT5,4.45103857566766
2008,NO,MORT_YLT5,1.5015015015015
2009,NO,MORT_YLT5,1.62337662337662
2010,NO,MORT_YLT5,3.11526479750779
2011,NO,MORT_YLT5,3.48432055749129
2012,NO,MORT_YLT5,12.9449838187702
2013,NO,MORT_YLT5,0.0
2014,NO,MORT_YLT5,4.69483568075117
2015,NO,MORT_YLT5,3.3003300330033
2016,NO,MORT_YLT5,4.46428571428571
2017,NO,MORT_YLT5,4.57317073170732
2018,NO,MORT_YLT5,0.0
2019,NO,MORT_YLT5,4.39882697947214
2020,NO,MORT_YLT5,1.47492625368732
2021,NO,MORT_YLT5,0.0
2022,NO,MORT_YLT5,7.92393026941363
