Year,Series,diseases,sex,Units,Value
2009,SH_DTH_NCOM, ,,NO,274.03516784654
2010,SH_DTH_NCOM, ,,NO,210.905030705291
2011,SH_DTH_NCOM, ,,NO,264.075426543707
2012,SH_DTH_NCOM, ,,NO,231.027867736546
2013,SH_DTH_NCOM, ,,NO,272.637144745539
2014,SH_DTH_NCOM, ,,NO,251.904771737111
2015,SH_DTH_NCOM, ,,NO,221.843353942855
2016,SH_DTH_NCOM, ,,NO,248.553500122239
2017,SH_DTH_NCOM, ,,NO,294.515159461804
2018,SH_DTH_NCOM, ,,NO,238.986696407233
2019,SH_DTH_NCOM, ,,NO,191.987462043295
2020,SH_DTH_NCOM, ,,NO,127.334465195246
2021,SH_DTH_NCOM, ,,NO,176.339799125968
2009,SH_DTH_NCOM, ,M,NO,321.56862745098
2010,SH_DTH_NCOM, ,M,NO,305.235970885184
2011,SH_DTH_NCOM, ,M,NO,313.455058381005
2012,SH_DTH_NCOM, ,M,NO,346.347607052897
2013,SH_DTH_NCOM, ,M,NO,371.497450895151
2014,SH_DTH_NCOM, ,M,NO,323.662916913361
2015,SH_DTH_NCOM, ,M,NO,282.496959234119
2016,SH_DTH_NCOM, ,M,NO,288.566526282951
2017,SH_DTH_NCOM, ,M,NO,363.481690576544
2018,SH_DTH_NCOM, ,M,NO,320.15855471281
2019,SH_DTH_NCOM, ,M,NO,231.801697386623
2020,SH_DTH_NCOM, ,M,NO,161.687428802411
2021,SH_DTH_NCOM, ,M,NO,218.882241354151
2009,SH_DTH_NCOM, ,F,NO,220.565530018969
2010,SH_DTH_NCOM, ,F,NO,105.221623043536
2011,SH_DTH_NCOM, ,F,NO,209.159440498497
2012,SH_DTH_NCOM, ,F,NO,104.026700186381
2013,SH_DTH_NCOM, ,F,NO,164.409639596764
2014,SH_DTH_NCOM, ,F,NO,173.190162798753
2015,SH_DTH_NCOM, ,F,NO,155.199172271081
2016,SH_DTH_NCOM, ,F,NO,204.778156996587
2017,SH_DTH_NCOM, ,F,NO,219.298245614035
2018,SH_DTH_NCOM, ,F,NO,150.156412930136
2019,SH_DTH_NCOM, ,F,NO,148.160342415014
2020,SH_DTH_NCOM, ,F,NO,89.3618749746131
2021,SH_DTH_NCOM, ,F,NO,129.24071082391
2009,SH_DTH_NCOM,I00-I99,,NO,74.7368639581474
2010,SH_DTH_NCOM,I00-I99,,NO,57.8954986249819
2011,SH_DTH_NCOM,I00-I99,,NO,66.0188566359266
2012,SH_DTH_NCOM,I00-I99,,NO,90.7609480393573
2013,SH_DTH_NCOM,I00-I99,,NO,86.748182419035
2014,SH_DTH_NCOM,I00-I99,,NO,74.3325555945572
2015,SH_DTH_NCOM,I00-I99,,NO,57.5149436148142
2016,SH_DTH_NCOM,I00-I99,,NO,65.1943606878005
2017,SH_DTH_NCOM,I00-I99,,NO,84.7235390232586
2018,SH_DTH_NCOM,I00-I99,,NO,51.7804508882339
2019,SH_DTH_NCOM,I00-I99,,NO,54.8535605837986
2020,SH_DTH_NCOM,I00-I99,,NO,23.1517209445902
2021,SH_DTH_NCOM,I00-I99,,NO,53.6686345165989
2009,SH_DTH_NCOM,I00-I99,M,NO,86.2745098039216
2010,SH_DTH_NCOM,I00-I99,M,NO,86.092196916334
2011,SH_DTH_NCOM,I00-I99,M,NO,101.872893973827
2012,SH_DTH_NCOM,I00-I99,M,NO,157.430730478589
2013,SH_DTH_NCOM,I00-I99,M,NO,118.563016243133
2014,SH_DTH_NCOM,I00-I99,M,NO,110.519044799684
2015,SH_DTH_NCOM,I00-I99,M,NO,102.012790834543
2016,SH_DTH_NCOM,I00-I99,M,NO,85.7900483543909
2017,SH_DTH_NCOM,I00-I99,M,NO,139.205753837825
2018,SH_DTH_NCOM,I00-I99,M,NO,76.2282273125739
2019,SH_DTH_NCOM,I00-I99,M,NO,74.774741092459
2020,SH_DTH_NCOM,I00-I99,M,NO,36.7471429096388
2021,SH_DTH_NCOM,I00-I99,M,NO,65.6646724062454
2009,SH_DTH_NCOM,I00-I99,F,NO,61.7583484053112
2010,SH_DTH_NCOM,I00-I99,F,NO,26.3054057608839
2011,SH_DTH_NCOM,I00-I99,F,NO,26.1449300623121
2012,SH_DTH_NCOM,I00-I99,F,NO,17.3377833643969
2013,SH_DTH_NCOM,I00-I99,F,NO,51.9188335568728
2014,SH_DTH_NCOM,I00-I99,F,NO,34.6380325597506
2015,SH_DTH_NCOM,I00-I99,F,NO,8.6221762372823
2016,SH_DTH_NCOM,I00-I99,F,NO,42.6621160409556
2017,SH_DTH_NCOM,I00-I99,F,NO,25.3036437246964
2018,SH_DTH_NCOM,I00-I99,F,NO,25.0260688216893
2019,SH_DTH_NCOM,I00-I99,F,NO,32.9245205366697
2020,SH_DTH_NCOM,I00-I99,F,NO,8.1238068158739
2021,SH_DTH_NCOM,I00-I99,F,NO,40.3877221324717
2009,SH_DTH_NCOM,COO-C97,,NO,141.169631920945
2010,SH_DTH_NCOM,COO-C97,,NO,144.738746562455
2011,SH_DTH_NCOM,COO-C97,,NO,181.551855748798
2012,SH_DTH_NCOM,COO-C97,,NO,132.015924420883
2013,SH_DTH_NCOM,COO-C97,,NO,156.972901520159
2014,SH_DTH_NCOM,COO-C97,,NO,148.665111189114
2015,SH_DTH_NCOM,COO-C97,,NO,135.570938520633
2016,SH_DTH_NCOM,COO-C97,,NO,158.911254176514
2017,SH_DTH_NCOM,COO-C97,,NO,193.653803481734
2018,SH_DTH_NCOM,COO-C97,,NO,163.307575878276
2019,SH_DTH_NCOM,COO-C97,,NO,125.379567048683
2020,SH_DTH_NCOM,COO-C97,,NO,88.7482636209292
2021,SH_DTH_NCOM,COO-C97,,NO,107.337269033198
2009,SH_DTH_NCOM,COO-C97,M,NO,196.078431372549
2010,SH_DTH_NCOM,COO-C97,M,NO,219.14377396885
2011,SH_DTH_NCOM,COO-C97,M,NO,203.745787947653
2012,SH_DTH_NCOM,COO-C97,M,NO,173.173803526448
2013,SH_DTH_NCOM,COO-C97,M,NO,237.126032486266
2014,SH_DTH_NCOM,COO-C97,M,NO,173.672784685218
2015,SH_DTH_NCOM,COO-C97,M,NO,149.095617373563
2016,SH_DTH_NCOM,COO-C97,M,NO,171.580096708782
2017,SH_DTH_NCOM,COO-C97,M,NO,208.808630756738
2018,SH_DTH_NCOM,COO-C97,M,NO,205.816213743949
2019,SH_DTH_NCOM,COO-C97,M,NO,149.549482184918
2020,SH_DTH_NCOM,COO-C97,M,NO,117.590857310844
2021,SH_DTH_NCOM,COO-C97,M,NO,131.329344812491
2009,SH_DTH_NCOM,COO-C97,F,NO,79.4035908068287
2010,SH_DTH_NCOM,COO-C97,F,NO,61.379280108729
2011,SH_DTH_NCOM,COO-C97,F,NO,156.869580373873
2012,SH_DTH_NCOM,COO-C97,F,NO,86.6889168219843
2013,SH_DTH_NCOM,COO-C97,F,NO,69.2251114091637
2014,SH_DTH_NCOM,COO-C97,F,NO,121.233113959127
2015,SH_DTH_NCOM,COO-C97,F,NO,120.710467321952
2016,SH_DTH_NCOM,COO-C97,F,NO,145.051194539249
2017,SH_DTH_NCOM,COO-C97,F,NO,177.125506072874
2018,SH_DTH_NCOM,COO-C97,F,NO,116.788321167883
2019,SH_DTH_NCOM,COO-C97,F,NO,98.773561610009
2020,SH_DTH_NCOM,COO-C97,F,NO,56.8666477111174
2021,SH_DTH_NCOM,COO-C97,F,NO,80.7754442649435
2009,SH_DTH_NCOM,E10-E14,,NO,29.064335983724
2010,SH_DTH_NCOM,E10-E14,,NO,4.1353927589273
2011,SH_DTH_NCOM,E10-E14,,NO,8.2523570794908
2012,SH_DTH_NCOM,E10-E14,,NO,0.0
2013,SH_DTH_NCOM,E10-E14,,NO,4.1308658294779
2014,SH_DTH_NCOM,E10-E14,,NO,0.0
2015,SH_DTH_NCOM,E10-E14,,NO,0.0
2016,SH_DTH_NCOM,E10-E14,,NO,16.2985901719501
2017,SH_DTH_NCOM,E10-E14,,NO,0.0
2018,SH_DTH_NCOM,E10-E14,,NO,0.0
2019,SH_DTH_NCOM,E10-E14,,NO,0.0
2020,SH_DTH_NCOM,E10-E14,,NO,0.0
2021,SH_DTH_NCOM,E10-E14,,NO,0.0
2009,SH_DTH_NCOM,E10-E14,M,NO,15.6862745098039
2010,SH_DTH_NCOM,E10-E14,M,NO,0.0
2011,SH_DTH_NCOM,E10-E14,M,NO,0.0
2012,SH_DTH_NCOM,E10-E14,M,NO,0.0
2013,SH_DTH_NCOM,E10-E14,M,NO,7.9042010828756
2014,SH_DTH_NCOM,E10-E14,M,NO,0.0
2015,SH_DTH_NCOM,E10-E14,M,NO,0.0
2016,SH_DTH_NCOM,E10-E14,M,NO,23.3972859148339
2017,SH_DTH_NCOM,E10-E14,M,NO,0.0
