Year,Series,Units,Value
1991,SH_TBS_INCD,NO,0.0
1992,SH_TBS_INCD,NO,2.1
1993,SH_TBS_INCD,NO,2.2
1994,SH_TBS_INCD,NO,0.0
1995,SH_TBS_INCD,NO,4.6
1996,SH_TBS_INCD,NO,0.0
1997,SH_TBS_INCD,NO,0.0
1998,SH_TBS_INCD,NO,6.7
1999,SH_TBS_INCD,NO,4.4
2000,SH_TBS_INCD,NO,13.1
2001,SH_TBS_INCD,NO,2.1
2002,SH_TBS_INCD,NO,0.0
2003,SH_TBS_INCD,NO,2.1
2004,SH_TBS_INCD,NO,0.0
2005,SH_TBS_INCD,NO,0.0
2006,SH_TBS_INCD,NO,2.1
2007,SH_TBS_INCD,NO,2.1
2008,SH_TBS_INCD,NO,2.1
2009,SH_TBS_INCD,NO,0.0
2010,SH_TBS_INCD,NO,4.1
2011,SH_TBS_INCD,NO,4.1
2012,SH_TBS_INCD,NO,4.2
2013,SH_TBS_INCD,NO,8.3
2014,SH_TBS_INCD,NO,2.1
2015,SH_TBS_INCD,NO,4.1
2016,SH_TBS_INCD,NO,4.0
2017,SH_TBS_INCD,NO,2.0
2018,SH_TBS_INCD,NO,2.0
2019,SH_TBS_INCD,NO,1.9
2020,SH_TBS_INCD,NO,0.0
2021,SH_TBS_INCD,NO,0.0
