Year,Series,sex,outcome,Units,Value
2009,PERS,,SL_EMP_INJUR,NO,140.0
2010,PERS,,SL_EMP_INJUR,NO,83.0
2011,PERS,,SL_EMP_INJUR,NO,127.0
2012,PERS,,SL_EMP_INJUR,NO,126.0
2013,PERS,,SL_EMP_INJUR,NO,144.0
2014,PERS,,SL_EMP_INJUR,NO,167.0
2015,PERS,,SL_EMP_INJUR,NO,188.0
2016,PERS,,SL_EMP_INJUR,NO,184.0
2017,PERS,,SL_EMP_INJUR,NO,178.0
2018,PERS,,SL_EMP_INJUR,NO,215.0
2019,PERS,,SL_EMP_INJUR,NO,226.0
2020,PERS,,SL_EMP_INJUR,NO,170.0
2021,PERS,,SL_EMP_INJUR,NO,225.0
2022,PERS,,SL_EMP_INJUR,NO,226.0
2023,PERS,,SL_EMP_INJUR,NO,242.0
2024,PERS,,SL_EMP_INJUR,NO,256.0
2025,PERS,,SL_EMP_INJUR,NO,280.0
2009,PERS,,SL_EMP_FTLINJUR,NO,2.0
2010,PERS,,SL_EMP_FTLINJUR,NO,0.0
2011,PERS,,SL_EMP_FTLINJUR,NO,0.0
2012,PERS,,SL_EMP_FTLINJUR,NO,1.0
2013,PERS,,SL_EMP_FTLINJUR,NO,1.0
2014,PERS,,SL_EMP_FTLINJUR,NO,3.0
2015,PERS,,SL_EMP_FTLINJUR,NO,0.0
2016,PERS,,SL_EMP_FTLINJUR,NO,1.0
2017,PERS,,SL_EMP_FTLINJUR,NO,0.0
2018,PERS,,SL_EMP_FTLINJUR,NO,1.0
2019,PERS,,SL_EMP_FTLINJUR,NO,1.0
2020,PERS,,SL_EMP_FTLINJUR,NO,3.0
2021,PERS,,SL_EMP_FTLINJUR,NO,0.0
2022,PERS,,SL_EMP_FTLINJUR,NO,0.0
2023,PERS,,SL_EMP_FTLINJUR,NO,0.0
2024,PERS,,SL_EMP_FTLINJUR,NO,4.0
2025,PERS,,SL_EMP_FTLINJUR,NO,3.0
2009,PERS,M,SL_EMP_INJUR,NO,72.0
2010,PERS,M,SL_EMP_INJUR,NO,41.0
2011,PERS,M,SL_EMP_INJUR,NO,65.0
2012,PERS,M,SL_EMP_INJUR,NO,69.0
2013,PERS,M,SL_EMP_INJUR,NO,68.0
2014,PERS,M,SL_EMP_INJUR,NO,76.0
2015,PERS,M,SL_EMP_INJUR,NO,114.0
2016,PERS,M,SL_EMP_INJUR,NO,108.0
2017,PERS,M,SL_EMP_INJUR,NO,122.0
2018,PERS,M,SL_EMP_INJUR,NO,131.0
2019,PERS,M,SL_EMP_INJUR,NO,119.0
2020,PERS,M,SL_EMP_INJUR,NO,100.0
2009,PERS,M,SL_EMP_FTLINJUR,NO,2.0
2010,PERS,M,SL_EMP_FTLINJUR,NO,0.0
2011,PERS,M,SL_EMP_FTLINJUR,NO,0.0
2012,PERS,M,SL_EMP_FTLINJUR,NO,1.0
2013,PERS,M,SL_EMP_FTLINJUR,NO,1.0
2014,PERS,M,SL_EMP_FTLINJUR,NO,3.0
2015,PERS,M,SL_EMP_FTLINJUR,NO,0.0
2016,PERS,M,SL_EMP_FTLINJUR,NO,1.0
2017,PERS,M,SL_EMP_FTLINJUR,NO,0.0
2018,PERS,M,SL_EMP_FTLINJUR,NO,1.0
2019,PERS,M,SL_EMP_FTLINJUR,NO,0.0
2020,PERS,M,SL_EMP_FTLINJUR,NO,3.0
2021,PERS,M,SL_EMP_FTLINJUR,NO,0.0
2022,PERS,M,SL_EMP_FTLINJUR,NO,0.0
2023,PERS,M,SL_EMP_FTLINJUR,NO,0.0
2024,PERS,M,SL_EMP_FTLINJUR,NO,4.0
2025,PERS,M,SL_EMP_FTLINJUR,NO,3.0
2009,PERS,F,SL_EMP_INJUR,NO,68.0
2010,PERS,F,SL_EMP_INJUR,NO,42.0
2011,PERS,F,SL_EMP_INJUR,NO,62.0
2012,PERS,F,SL_EMP_INJUR,NO,57.0
2013,PERS,F,SL_EMP_INJUR,NO,76.0
2014,PERS,F,SL_EMP_INJUR,NO,91.0
2015,PERS,F,SL_EMP_INJUR,NO,74.0
2016,PERS,F,SL_EMP_INJUR,NO,76.0
2017,PERS,F,SL_EMP_INJUR,NO,56.0
2018,PERS,F,SL_EMP_INJUR,NO,84.0
