Year,Value,Units,Series,GeoCode
2009,3.9,PCT,SI_POV_NAHC,TOTAL
2010,4.0,PCT,SI_POV_NAHC,TOTAL
2011,4.4,PCT,SI_POV_NAHC,TOTAL
2012,4.7,PCT,SI_POV_NAHC,TOTAL
2013,3.7,PCT,SI_POV_NAHC,TOTAL
2014,3.5,PCT,SI_POV_NAHC,TOTAL
2015,3.4,PCT,SI_POV_NAHC,TOTAL
2016,3.2,PCT,SI_POV_NAHC,TOTAL
2017,3.0,PCT,SI_POV_NAHC,TOTAL
2018,2.9,PCT,SI_POV_NAHC,TOTAL
2019,2.6,PCT,SI_POV_NAHC,TOTAL
2020,2.4,PCT,SI_POV_NAHC,TOTAL
2021,2.6,PCT,SI_POV_NAHC,TOTAL
2022,2.5,PCT,SI_POV_NAHC,TOTAL
2023,2.5,PCT,SI_POV_NAHC,TOTAL
2024,2.9,PCT,SI_POV_NAHC,TOTAL
