Year,Value,Units,Series
2009,274.03516784654,NO,SH_DTH_NCOM
2010,210.905030705291,NO,SH_DTH_NCOM
2011,264.075426543707,NO,SH_DTH_NCOM
2012,231.027867736546,NO,SH_DTH_NCOM
2013,272.637144745539,NO,SH_DTH_NCOM
2014,251.904771737111,NO,SH_DTH_NCOM
2015,221.843353942855,NO,SH_DTH_NCOM
2016,248.553500122239,NO,SH_DTH_NCOM
2017,294.515159461804,NO,SH_DTH_NCOM
2018,238.986696407233,NO,SH_DTH_NCOM
2019,191.987462043295,NO,SH_DTH_NCOM
2020,127.334465195246,NO,SH_DTH_NCOM
2021,176.339799125968,NO,SH_DTH_NCOM
